date,sol_close,lite_close,eth_close,doge_close,btc_close,bnb_close,ada_close
2022-08-19 0:00,38.84,59.85,1833.3,0.07469,23073.27,296.4,0.5097
2022-08-18 0:00,39.52,60.02,1846.39,0.07474,23191.2,298.1,0.5119
2022-08-17 0:00,40.54,60.52,1834.25,0.08021,23342.66,306.9,0.5384
2022-08-16 0:00,43.08,61.33,1876.67,0.08677,23854.74,316.1,0.557
2022-08-15 0:00,43.72,60.67,1899.06,0.07662,24094.82,319.5,0.5499
2022-08-14 0:00,44.87,63.14,1935.31,0.08168,24305.24,317.6,0.5695
2022-08-13 0:00,46.6,63.8,1983.55,0.07293,24441.38,324.3,0.5593
2022-08-12 0:00,45.48,62.88,1958.28,0.0723,24403.68,327.9,0.5402
2022-08-11 0:00,42.77,61.84,1880.19,0.07084,23934.39,323.6,0.5303
2022-08-10 0:00,42.47,61.59,1853.57,0.07126,23954.05,328.8,0.5374
2022-08-09 0:00,40.33,59.16,1702.76,0.06904,23149.95,324.4,0.5129
2022-08-08 0:00,42.18,62.61,1777.05,0.07011,23810,324.9,0.5371
2022-08-07 0:00,40.6,61.1,1700.19,0.06897,23174.39,322.8,0.5276
2022-08-06 0:00,40.07,60.83,1690.6,0.06863,22954.21,315.2,0.5112
2022-08-05 0:00,40.55,62.47,1736.81,0.06981,23312.42,315.9,0.5174
2022-08-04 0:00,38.83,59.65,1607.96,0.06725,22622.98,311.8,0.4997
2022-08-03 0:00,38.54,57.77,1618.16,0.06621,22818.37,297.5,0.5005
2022-08-02 0:00,39.79,58.05,1630.91,0.06652,22987.79,283.8,0.4963
2022-08-01 0:00,41.65,59.44,1630.28,0.06845,23268.01,283.2,0.5124
2022-07-31 0:00,42.35,59.74,1678.12,0.06807,23293.32,283.4,0.5161
2022-07-30 0:00,43.84,60.42,1697,0.06965,23643.51,287.8,0.5263
2022-07-29 0:00,41.91,60.65,1721.68,0.06877,23773.75,293.6,0.5218
2022-07-28 0:00,42.91,63.41,1724.52,0.06909,23842.93,277.2,0.513
2022-07-27 0:00,40.23,59.01,1635.74,0.06721,22952.45,271.6,0.5111
2022-07-26 0:00,36.25,53.88,1449.12,0.06252,21254.67,249.4,0.4677
2022-07-25 0:00,36.65,54,1440.79,0.06193,21310.9,244.6,0.4752
2022-07-24 0:00,40.93,58.39,1597.7,0.06755,22579.68,261.4,0.512
2022-07-23 0:00,39.97,56.32,1548.67,0.06804,22451.07,259.2,0.517
2022-07-22 0:00,40.54,56.09,1535.27,0.06743,22684.83,262.4,0.4828
2022-07-21 0:00,43.11,58.02,1575.45,0.06998,23152.19,265.6,0.4993
2022-07-20 0:00,42.04,57.2,1521.58,0.07014,23223.3,258.2,0.491
2022-07-19 0:00,44.87,57.9,1542.32,0.06901,23396.62,268.6,0.5152
2022-07-18 0:00,43.52,58.6,1581.04,0.06756,22432.58,264.1,0.4904
2022-07-17 0:00,38.62,55.76,1338.65,0.06306,20798.16,247.8,0.4478
2022-07-16 0:00,39.58,55.08,1355.85,0.06439,21195.6,249.8,0.4578
2022-07-15 0:00,37.36,51.78,1231.25,0.06294,20830.04,238.5,0.4421
2022-07-14 0:00,37.15,51.32,1193.42,0.06246,20588.84,238.5,0.4416
2022-07-13 0:00,34.94,49.56,1115,0.06194,20234.87,230.5,0.4383
2022-07-12 0:00,32.68,47.33,1038.58,0.05982,19328.75,220.6,0.4171
2022-07-11 0:00,33.42,48.71,1096.4,0.06175,19963.61,225.6,0.4347
2022-07-10 0:00,36.71,52.12,1168.36,0.06728,20862.47,234.7,0.4624
2022-07-09 0:00,38.06,54.09,1217.02,0.06947,21591.83,243.3,0.478
2022-07-08 0:00,38.12,51.35,1214.04,0.06906,21594.75,240.7,0.4661
2022-07-07 0:00,38.46,52.15,1237.49,0.07055,21624.98,241.4,0.4776
2022-07-06 0:00,37.04,50.34,1186.57,0.06844,20564.51,238.6,0.4623
2022-07-05 0:00,35.4,49.7,1132.5,0.06716,20175.83,230.8,0.4571
2022-07-04 0:00,36.71,52.26,1151,0.06938,20236.71,231.5,0.4695
2022-07-03 0:00,33.39,50.95,1074.26,0.06721,19315.83,219.2,0.4561
2022-07-02 0:00,33.36,50.55,1067.01,0.06667,19252.81,218.3,0.4559
2022-07-01 0:00,32.84,51.19,1059.73,0.06644,19279.8,216.9,0.4487
2022-06-30 0:00,33.76,53.84,1071.01,0.06644,19942.21,219.6,0.4599
2022-06-29 0:00,34.05,53.68,1100.21,0.06956,20123.01,219.7,0.4662
2022-06-28 0:00,35.35,52.68,1144.05,0.0661,20281.29,226.9,0.4694
2022-06-27 0:00,38.52,55.86,1192.51,0.07216,20742.56,233.8,0.4856
2022-06-26 0:00,39.39,56.61,1197.79,0.07296,21038.07,233.9,0.4899
2022-06-25 0:00,42.22,58.88,1242.36,0.06852,21491.19,239.7,0.4984
2022-06-24 0:00,41.91,55.84,1225.02,0.06694,21237.69,240.2,0.4981
2022-06-23 0:00,38.15,55.74,1144.72,0.06398,21110.13,228.9,0.48
2022-06-22 0:00,34.12,52.13,1050.19,0.0617,19987.99,214.4,0.4594
2022-06-21 0:00,36.42,53.52,1125.85,0.06581,20723.52,220.1,0.4813
2022-06-20 0:00,35.24,52.77,1128.24,0.06002,20573.89,216.5,0.4915
2022-06-19 0:00,34.19,54.29,1128.53,0.06047,20574,215.1,0.4848
2022-06-18 0:00,32.02,47.18,995.13,0.0529,18970.79,197,0.4549
2022-06-17 0:00,30.71,47.6,1086.94,0.05689,20468.81,215.8,0.4872
2022-06-16 0:00,30.12,44.78,1068.5,0.05523,20401.31,210.2,0.4762
2022-06-15 0:00,34.76,50.65,1237.52,0.06285,22583.72,233.6,0.5348
2022-06-14 0:00,29.59,46.15,1208.9,0.05555,22136.41,223,0.4831
2022-06-13 0:00,28.6,43.5,1209.82,0.0542,22487.41,223,0.4644
2022-06-12 0:00,30.61,47.9,1434.84,0.06353,26574.53,254.8,0.4904
2022-06-11 0:00,33.93,52.2,1532.89,0.06993,28424.7,269.9,0.554
2022-06-10 0:00,37.17,56.7,1662.91,0.07539,29091.88,286.4,0.5744
2022-06-09 0:00,39.96,60.3,1788.81,0.07937,30109.93,289.9,0.6323
2022-06-08 0:00,38.83,61.3,1791.88,0.07927,30204.77,288.5,0.6408
2022-06-07 0:00,39.31,63.8,1813.33,0.08039,31125.33,290.3,0.6141
2022-06-06 0:00,42.39,64.5,1859.84,0.0825,31373.1,295.1,0.6091
2022-06-05 0:00,38.52,63.2,1806.23,0.08107,29919.21,299.1,0.5674
2022-06-04 0:00,39,63.7,1804.58,0.08187,29864.04,301.3,0.5665
2022-06-03 0:00,38.28,62.6,1775.12,0.08029,29700.21,298.6,0.56
2022-06-02 0:00,40.85,64.5,1834.08,0.08277,30452.62,308.3,0.5871
2022-06-01 0:00,40.11,62.7,1817.95,0.08105,29805.83,300.4,0.5516
2022-05-31 0:00,45.77,68.4,1941.9,0.08591,31801.04,320.9,0.6268
2022-05-30 0:00,47.22,69.1,1998.78,0.088,31734.22,321.8,0.5698
2022-05-29 0:00,44.98,63.6,1813.64,0.0827,29468.1,305.8,0.482
2022-05-28 0:00,44.25,63,1792.22,0.0818,29031.33,307.5,0.4646
2022-05-27 0:00,41.17,61.6,1727.27,0.0816,28629.8,301.6,0.4566
2022-05-26 0:00,43.44,63.5,1792.23,0.0779,29201.35,303,0.4789
2022-05-25 0:00,47.98,68.2,1942.63,0.083,29542.15,325.7,0.5146
2022-05-24 0:00,49.67,70.2,1979.41,0.0837,29654.58,328.3,0.5219
2022-05-23 0:00,49.17,69.1,1973.32,0.0833,29109.15,317.2,0.5134
2022-05-22 0:00,52.48,71.7,2043.19,0.0859,30293.94,319.4,0.5416
2022-05-21 0:00,50.31,69.8,1975.07,0.0845,29445.06,312.4,0.5286
2022-05-20 0:00,49.43,68.6,1959.08,0.084,29201.01,302.2,0.5162
2022-05-19 0:00,52.2,72.1,2019.55,0.0866,30319.23,307.1,0.5334
2022-05-18 0:00,49.93,66,1915.11,0.0833,28715.32,287.7,0.5059
2022-05-17 0:00,57.02,73.2,2090.72,0.0903,30444.93,306.2,0.5778
2022-05-16 0:00,53.79,67.3,2023.66,0.088,29874.01,297.2,0.5569
2022-05-15 0:00,58.83,71.6,2145.29,0.0932,31328.89,312.4,0.5981
2022-05-14 0:00,52.43,68.9,2056.48,0.0894,30086.74,296.9,0.5372
2022-05-13 0:00,48.92,67.9,2009.69,0.0881,29287.05,290.6,0.529
2022-05-12 0:00,44.64,64.5,1960.22,0.0826,29029.75,269,0.4733
2022-05-11 0:00,50.9,66.6,2084.99,0.0853,29103.94,271.5,0.5187
2022-05-10 0:00,66.9,80.2,2342.05,0.108,31017.1,319.1,0.6286
2022-05-09 0:00,62.16,76.2,2228.55,0.1019,30076.31,296.1,0.6019
2022-05-08 0:00,75.38,93.9,2519.71,0.1241,34038.4,355.9,0.7403
2022-05-07 0:00,78.86,94.3,2635.34,0.1275,35472.39,365.5,0.7604
2022-05-06 0:00,81.68,96.7,2692.85,0.1278,36013.77,379.1,0.7832
2022-05-05 0:00,84.52,96.8,2747.97,0.1282,36552.97,378.4,0.7884
2022-05-04 0:00,92.77,106.3,2940.64,0.1359,39690,402.6,0.8985
2022-05-03 0:00,85.86,99.4,2781.7,0.1295,37728.95,383.9,0.7711
2022-05-02 0:00,87.5,100.7,2856.54,0.1308,38525.16,389.5,0.7809
2022-05-01 0:00,89.68,99.3,2824.81,0.1327,38468.35,389.9,0.7895
2022-04-30 0:00,84.63,95.8,2726.66,0.1274,37630.8,377.1,0.7556
2022-04-29 0:00,93.96,100.4,2817.13,0.1349,38596.11,393,0.8048
2022-04-28 0:00,98.24,103.3,2936.93,0.1375,39742.07,407.1,0.8432
2022-04-27 0:00,98.36,100.5,2888.96,0.14,39235.72,391.3,0.8401
2022-04-26 0:00,95.7,98.6,2809.67,0.1376,38112.65,385.9,0.8259
2022-04-25 0:00,100.99,104.6,3006.62,0.1581,40426.08,404.3,0.8974
2022-04-24 0:00,99.23,104.6,2921,0.1317,39450.13,398.8,0.886
2022-04-23 0:00,100.63,105.1,2933.03,0.1339,39441.6,401.1,0.886
2022-04-22 0:00,100.55,105.4,2962.39,0.1363,39709.18,406.6,0.906
2022-04-21 0:00,101.78,106.8,2983.58,0.1362,40480.01,404.9,0.91
2022-04-20 0:00,105.59,111.9,3076.04,0.1407,41358.19,418.4,0.937
2022-04-19 0:00,108.51,113.8,3101.77,0.1425,41493.18,422.3,0.952
2022-04-18 0:00,102.33,111.3,3055.56,0.1402,40801.13,416.8,0.937
2022-04-17 0:00,100.15,108.8,2988.06,0.1392,39678.12,406.6,0.914
2022-04-16 0:00,102.06,114.3,3059.3,0.1435,40378.71,417.3,0.951
2022-04-15 0:00,101.31,111,3040.56,0.1458,40551.9,417.3,0.956
2022-04-14 0:00,100.77,107.3,3021.98,0.1441,39942.38,414.7,0.933
